output_id,phase,disease_id,locked_disease_label,public_disease,blinded_output_id,score_definition,human_updated_DGQC,expert_confirmed_CD,usable_draft,file_path,sha256,pages,pdf_title_metadata,topic_check,known_note
R1-OpenSAGE-yellow_fever,Stage 1,R1D45,Yello Fever,Yellow Fever,G55_Yello Fever.pdf,R1 formal rerating,80.14,no,yes,outputs/opensage/Yellow Fever.pdf,89579f4cc4d7b039b31d5bbf3d517028cfa52911de70bfb1ca3be90735662845,23,Yello Fever,pass,
R1-OpenSAGE-zika,Stage 1,R1D46,Zika,Zika,G56_Zika.pdf,R1 formal rerating,79.39,no,yes,outputs/opensage/Zika.pdf,6dc5663716ee12315a521ea142be47e74d9efd0d1b507c3fc650ef9d5fb5a596,23,Zika,pass,
R2-D01-方案03,Stage 2,D01,Abortion Care,Abortion Care,D01-方案03,R2 locked adjudication-adjusted,72.50,no,yes,outputs/opensage/Abortion Care.pdf,6fae2ab888a1d31b7454834977e76cdb09a75586a99d9a0f1b58e7bb81eba745,18,,pass,
R2-D02-方案05,Stage 2,D02,COVID-19,COVID-19,D02-方案05,R2 locked adjudication-adjusted,74.72,no,yes,outputs/opensage/COVID-19.pdf,022dd7c05847052a3e8f1a75dfbbb0a4b9b7642483a48b2e3958fe96d1cc4f8b,14,,pass,
R2-D03-方案02,Stage 2,D03,HIV,HIV,D03-方案02,R2 locked adjudication-adjusted,72.08,no,yes,outputs/opensage/HIV.pdf,5289fcc512ab52f37fb5e1232977d58b860de9cdb03a2a8342a2a166fd3d1a6c,13,,pass,
R2-D04-方案06,Stage 2,D04,Infertility,Infertility,D04-方案06,R2 locked adjudication-adjusted,74.10,no,yes,outputs/opensage/Infertility.pdf,ae0de10edfaf26beab12a06bfb45ca8edc9dfe846c1599bb347447010bb5af62,15,Infertility.md,pass,
R2-D05-方案04,Stage 2,D05,Malaria,Malaria,D05-方案04,R2 locked adjudication-adjusted,74.72,no,yes,outputs/opensage/Malaria.pdf,a7173c174a90e49e7867bcda97c9fd8919aa9b052c5780b2e7e3c3fe2758b215,12,Malaria.md,pass,
R2-D06-方案06,Stage 2,D06,Maternal Health,Maternal Health,D06-方案06,R2 locked adjudication-adjusted,64.65,no,no,outputs/opensage/Maternal Health.pdf,03c3b6e26d1c4dcd5dacf68c2ed34712fc455cc3a5fad3c1b5aa748cc20a1fb9,15,Maternal Health,pass,Restored formal D06-方案06 file; verified against independent retained copies.
R2-D07-方案08,Stage 2,D07,Meningitis,Meningitis,D07-方案08,R2 locked adjudication-adjusted,74.03,no,yes,outputs/opensage/Meningitis.pdf,d07b80e25c64851650335c17d73b5bfaeef1886b6771be508d64e47effd0e599,14,Meningitis,pass,
R2-D08-方案05,Stage 2,D08,Mental Health Disorders,Mental Health Disorders,D08-方案05,R2 locked adjudication-adjusted,71.74,no,yes,outputs/opensage/Mental Health Disorders.pdf,6f492690dd4d8764222357d5a221172da5f80dd831283c1cb4935478e1533c8e,16,Mental Heath Disorders,pass,
R2-D09-方案08,Stage 2,D09,Substance Use Disorders,Substance Use Disorders,D09-方案08,R2 locked adjudication-adjusted,66.81,no,no,outputs/opensage/Substance Use Disorders.pdf,c3868eb1f70cd2884eef01c37c974bc6699720dcfd3c63ffb74c7f74eb9bca5c,13,Substance Use Disorders,pass,
R2-D10-方案07,Stage 2,D10,Tuberculosis,Tuberculosis,D10-方案07,R2 locked adjudication-adjusted,72.50,no,yes,outputs/opensage/Tuberculosis.pdf,806c6ec9631187e6402b8858493370fb283ceeba16faf58b7daa4c4dfa726540,19,Tuberculosis,pass,
